geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6001400100,Oakland,94704,Alameda,37.8675947,-122.2319033,110.4123824,3.85,537,52,0.09683426443202979,25.46153846153846,0,3167.269230769231,55.5,5.6,96.8,8.2,2.2,3.5,86.6,0.4,1.3,3.4,9.5,5.7,31.2,48.5,98.3,79.7,23.4,60.3,2.9,6,7.5,26.2,29.7,63,1.7,0,5.7,0,26.2,6.7,0,2.8,3.9,0
6001400200,Oakland,94618,Alameda,37.848171,-122.2495763,110.4123824,4.05,513,4,0.007797270955165692,27,0,41174.5,68.1,2.2,94.8,7.3,1.3,5.8,87.7,0.4,1.1,3.9,9.7,1.9,38.2,44.8,98.5,82.9,35.8,47.8,1.9,3.4,11,11.7,29.7,54.7,0,3.9,9.5,2.2,38.4,2.6,1.7,0.4,0.5,0
6001400300,Oakland,94618,Alameda,37.8405983,-122.2544365,110.4123824,3.78,1544,91,0.05893782383419689,27,0,1809.868131868132,73.4,8.8,96,7.3,1.6,8.1,84.1,4.7,0.3,11,9.7,5.6,34.7,34,95,68.8,34.5,43.9,2.8,9.1,9.7,18.3,12.2,19.4,40.1,0,27.3,1.1,44.9,8.3,1.5,0.3,2,4.5
6001400400,Oakland,94609,Alameda,37.8482107,-122.2574628,110.4123824,4.44,1317,86,0.06529992406985573,27.813953488372093,0,1915.093023255814,78.4,3.3,96.5,13.4,1.2,7.4,84.7,2.5,3.6,5.1,10.2,3,29.3,46.2,93.9,75.5,47,38.7,0.6,4.5,9.2,8.7,31.1,53.8,2.8,0,5.3,7,34.5,2.6,0.2,0.3,1.9,0.3
6001400500,Oakland,94609,Alameda,37.8485167,-122.2647445,110.4123824,3.64,1352,60,0.04437869822485207,26.416666666666668,0,2744.9666666666667,73.3,6.5,88,9.5,6.1,12.7,77.5,2,1.2,11.8,16.8,6.3,38.8,23.1,96.8,61.9,56.4,22.6,2.4,6.6,11.9,16.8,26.4,10.6,18.9,0,39.6,4.4,66.4,4.9,2.4,1,1.4,0
6001400600,Oakland,94609,Alameda,37.8419909,-122.2648882,110.4123824,2.56,533,17,0.03189493433395872,24.647058823529413,0,9688.117647058823,75.5,14.9,86.8,11.8,3,6.6,79.7,5.9,2,16.8,11.7,8.4,31,24.4,92.2,55.3,40.1,45.5,0.8,6.8,6.8,13,21.3,36.1,25,2.3,15.3,0,26.4,4.1,1.3,1.5,1,0.3
6001400700,Oakland,94608,Alameda,37.8417578,-122.2723135,110.4123824,5.6,1206,91,0.07545605306799337,28.043956043956044,0,1809.868131868132,57.1,10.5,83.6,18.6,14.5,19.8,78.8,4.3,5.1,22.5,22.6,4.5,24.2,16.7,90.6,40.9,49.4,22.7,5.2,10.4,12.2,11,10.2,31,18.6,0,40.2,0,45.4,9.2,4.7,0.7,0,3.8
6001400800,Oakland,94608,Alameda,37.8454493,-122.2833803,110.4123824,7.44,976,83,0.08504098360655737,33.9277108433735,0,1984.313253012048,72.7,11.1,87.3,11.9,3.3,8.7,82.8,6.2,3.6,13.1,20.2,7.3,27.8,21.9,90.2,49.7,44.6,32.2,0.6,7.2,15.4,19,27.2,39.4,8.1,0,23.6,1.8,37.6,7.9,3.3,1.5,1.4,1.7
6001400900,Oakland,94608,Alameda,37.8394669,-122.2802437,110.4123824,7.89,641,35,0.054602184087363496,33.52857142857143,0,4705.657142857143,71.9,5.3,94.5,15,9.5,14.6,82.8,2.1,4.7,21.6,21.4,8.5,27,14.6,93.1,41.6,41.3,30,5.5,6.8,16.3,14.1,5.5,44.3,24.1,0,17.3,8.8,37.5,4.5,0.9,0,0.6,3
6001401000,Oakland,94608,Alameda,37.831217,-122.2719625,110.4123824,6.9,1760,7,0.003977272727272727,24.142857142857142,0,23528.285714285714,60.3,9.2,90.4,16.9,21.3,27.2,86,4,9.7,19.2,27.2,6.8,19.3,13.9,86.4,33.2,54.4,25.2,5.2,10.2,4.9,12.2,8.1,22.1,5.8,2.2,61.9,0,54.1,6.5,5.6,0,0.9,0
6001401100,Oakland,94609,Alameda,37.8304835,-122.2638645,110.4123824,6.62,1432,74,0.051675977653631286,33.554054054054056,0,2225.6486486486488,76.1,12.8,88.4,7.6,8.3,15.6,67,0.8,2.4,11.7,23.1,4.9,37.1,20,96.8,57.1,55,24.8,0.7,2.7,16.9,10.9,7.7,51.9,2.4,15.3,22.8,0,30.2,4.1,0.8,0.4,2.8,0
6001401200,Oakland,94609,Alameda,37.8305977,-122.2579072,110.4123824,2.92,873,0,0,NA,NA,NA,80.3,11.8,96.5,7.3,1.4,8,78.8,2.1,3.8,7.3,18.5,6.2,33.7,28.5,94.1,62.1,54.3,30.5,2.9,4.5,7.8,15,14.7,41.6,15.7,2.1,25.9,0,48.8,7.1,1.6,0.1,3.4,2
6001401300,Oakland,94609,Alameda,37.8180997,-122.2667133,110.4123824,6.61,1020,0,0,NA,NA,NA,65.5,15.5,71.3,16.9,15.6,33.2,65.7,6.3,11.6,21.5,21.2,5.8,20.9,12.6,82.1,33.5,47.9,23.4,5.7,10.4,12.7,25.7,4.8,61.4,15.7,0.4,16,1.7,61.2,19,4.3,0.9,10.7,3.1
6001401400,Oakland,94608,Alameda,37.8207387,-122.2733758,110.4123824,6.15,1131,127,0.11229000884173299,31.488188976377952,0.08661417322834646,1296.8346456692914,51.1,16.2,81.9,20.8,34.6,40.7,78.7,6.5,14.6,27.4,25.8,7,11.7,6.9,78.9,18.6,46.9,29.7,3.6,9.4,10.3,23.4,3.3,38.4,8.5,0,49.8,0,61.7,16.6,8.6,0,6.5,1.5
6001401500,Oakland,94608,Alameda,37.8229232,-122.2806358,110.4123824,9.55,586,0,0,NA,NA,NA,63.5,9.7,75.9,18.1,15.9,23,76.5,6.3,5.9,18.4,27.6,10.8,23,8,87.7,31,53,16.5,2.9,14.2,13.4,16.4,8.8,49.7,13,0,22.9,5.5,68,10.3,2,0,6.8,1.5
6001401600,Oakland,94607,Alameda,37.8173716,-122.2814825,110.4123824,7.45,503,18,0.03578528827037773,23.944444444444443,0,9149.888888888889,69.3,8.4,83.7,20.1,25.5,30.3,85.9,5.8,7,15.5,28.4,10.8,16.5,16.1,87.2,32.6,48,27.8,5.7,3.9,14.6,22.7,6,43.6,14.5,0,27.5,8.3,59.5,17.6,5.7,0,10.3,1.6
6001401700,Oakland,94607,Alameda,37.8134257,-122.3193044,110.4123824,6.48,785,28,0.035668789808917196,25.75,0,5882.071428571428,73.7,6.7,85.2,9.3,22.3,22.2,76.2,7.2,8.7,9,22.7,6.6,34.3,11.6,84.2,45.8,51.6,37,4.5,0.6,6.2,25.2,10.9,32.8,13,3,40.3,0,57.4,14.8,8.1,1.1,1.4,4.2
6001401800,Oakland,94607,Alameda,37.809532,-122.298236,110.4123824,7.8,591,56,0.09475465313028765,34.32142857142857,0,2941.035714285714,68.8,20,81.6,12.5,41.2,37.2,79.5,3.9,14.1,16.7,24.6,9.3,21.7,9.8,82.1,31.5,58.6,17.2,6.3,13.1,4.9,14.7,13.6,22.3,9.1,0,53.3,1.7,59.9,7.5,5.8,0,1.4,0.3
6001402200,Oakland,94607,Alameda,37.8063512,-122.2963076,110.4123824,7.42,664,52,0.0783132530120482,27.48076923076923,0,3167.269230769231,59.2,13.8,84.3,17.5,25,25.9,83.1,10,9,20.5,24.3,8.3,18.4,9.3,80.9,27.8,48,28.2,1.5,9.8,12.5,20.3,1.6,49.8,2,0,46.6,0,46.8,19.9,11.5,0.2,8.2,0
6001402400,Oakland,94607,Alameda,37.812031,-122.2824569,110.4123824,4.73,820,122,0.14878048780487804,37,0,1349.983606557377,56.9,16.2,86.4,19.2,23.4,27.5,88.5,14.4,7.8,21.2,25.2,6.7,17.1,7.6,77.8,24.6,50.4,22.6,3.6,15.5,7.9,20.9,1.1,55,14.1,0,28.8,1,40,20.1,6.3,0.4,10.8,2.6
6001402500,Oakland,94607,Alameda,37.8057305,-122.2847803,110.4123824,10.08,590,55,0.09322033898305085,32.36363636363637,0,2994.509090909091,58.4,25.5,87.4,17.7,51.5,49.6,86.3,5.2,13.2,26,31.3,6.3,15.5,2.5,81.6,18,56.3,20.8,2.6,7,13.3,17.2,0,42.4,17.4,0,35.7,4.6,28.4,15.3,4.7,0,6.4,4.1
6001402600,Oakland,94607,Alameda,37.8042711,-122.2799541,110.4123824,1.61,283,11,0.038869257950530034,22,0,14972.545454545454,52.8,16.7,87,23.2,40.1,42.8,93.3,18.2,8.3,26,18.5,4,18.7,6.4,73.5,25,33.9,41.8,0.8,15,8.4,52.5,0.6,91.5,6,0,1.9,0,35,48.3,0,0,43.5,4.8
6001402700,Oakland,94612,Alameda,37.8103872,-122.2769914,110.4123824,10.86,725,106,0.14620689655172414,38.56132075471698,0,1553.754716981132,70.9,8.3,89.7,15.8,36.6,31,62.8,11.1,16.9,15.7,25.6,1.7,20.5,8.5,72,28.9,71.6,15.5,0.3,9,3.6,11,0,31.2,3,0,65.8,0,53.5,11.2,8,0,2.9,0.3
6001402800,Oakland,94612,Alameda,37.8087183,-122.2715003,110.4123824,4.98,853,49,0.05744431418522861,32.40816326530612,0,3361.183673469388,45.1,14.9,84.9,27.3,27.1,43.3,68.8,9.1,12.2,12.4,26.7,5.8,22.1,11.7,78.7,33.8,47.6,23.6,6,11.3,11.5,28.9,5.9,49.1,34.2,0,7.6,3.2,45.8,18.5,0,0.8,12,5.7
6001402900,Oakland,94612,Alameda,37.8071501,-122.26681,110.4123824,3.28,401,20,0.04987531172069826,22,0,8234.9,46.4,7.9,78.5,21.5,22.1,25,75.8,16.1,5.3,19.1,17.3,5.5,25.9,10.9,78.6,36.8,40.6,26.5,1,22.1,9.8,45.7,3.4,84.4,3.6,0,7.9,0.6,41.7,30.5,1.5,1.8,27.2,0
6001403000,Oakland,94607,Alameda,37.8004265,-122.270732,110.4123824,7.14,539,0,0,NA,NA,NA,38.6,12.6,88,29.7,14.3,31.1,88.2,29.9,12.4,22.6,8.6,1.9,19.1,5.5,57.7,24.6,23.6,40.2,2.2,26.2,7.8,68.8,0,98,0,0,1.6,0.4,33.8,63,0.3,0,62.7,0
6001403100,Oakland,94607,Alameda,37.8022742,-122.2755009,110.4123824,2.02,358,19,0.05307262569832402,22,0,8668.315789473685,69.1,7,88.6,19,25.4,31.7,66.4,18,9.3,15.1,16.3,2.8,22.6,15.9,72.8,38.5,30.7,45.7,2.9,10.4,10.3,36.9,3,72.4,1.5,1.5,21.6,0,43.4,28.7,5.5,0,23.2,0
6001403300,Oakland,94607,Alameda,37.7944308,-122.2663244,110.4123824,4.59,1371,72,0.0525164113785558,24.430555555555557,0,2287.472222222222,74.4,8.9,82.6,13.9,19.9,22.9,75.8,20.7,5.7,10.9,12,4.3,30.8,15.7,73.6,46.5,46.7,39.4,2.9,5.7,5.3,51.5,0.7,91.1,4.5,0.7,3,0,59.1,40.8,1.6,0.3,38.9,0
6001403400,Oakland,94612,Alameda,37.8047578,-122.2616693,110.4123824,4.89,1160,8,0.006896551724137931,22,0,20587.25,63.2,5.3,82.6,19.5,2.2,12.4,78.2,7.1,2.9,12,14.5,7.2,34.1,22.3,90.1,56.4,48,28.4,1.4,11.4,10.8,27.7,9.7,72.6,6.7,0,11,0,26.6,18.4,2.9,1.3,13.7,0.5
6001403501,Oakland,94611,Alameda,37.8177294,-122.2600769,110.4123824,5.45,1117,41,0.03670546105640107,22.609756097560975,0,4017.0243902439024,54.1,6.3,87.6,18.9,16.1,23.7,84,8,6.2,10.2,21.1,8.5,24.2,21.9,85.8,46,45.1,21.9,3.3,16.3,13.5,27.9,1.1,64.8,19.8,0,13.3,1,34.1,18.9,0,0.5,15,3.4
6001403502,Oakland,94610,Alameda,37.8159606,-122.2569405,110.4123824,6.11,738,0,0,NA,NA,NA,77.1,9.4,91.8,11.3,6.4,14.4,75,1.7,4.6,8.3,25.1,2.9,29.5,27.9,93.7,57.4,46.9,30.5,7.7,2.6,12.4,23.1,11.8,60.6,11.4,0,14.4,1.8,12.8,5.9,0.1,0.5,4.9,0.5
6001403600,Oakland,94610,Alameda,37.8135127,-122.253492,110.4123824,6.99,1477,38,0.025727826675693975,22,0,4334.1578947368425,75.2,7,93.2,7.9,14.2,9.6,78.7,0.8,2.7,10.7,20.3,6.2,35.5,23.8,96.5,59.3,43.6,29.6,2,4.8,20,26.7,14.4,40.2,32.6,0,12.8,0,50.4,7.6,2,1.3,2.4,2
